state,city,url,date_scraped,Unnamed: 4,State,Count,Unnamed: 7,Unnamed: 8,REAL COUNT,Unnamed: 10,Unnamed: 11,Sitemap Url,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,communityID,block_id,apt_id,apt_name,bed_count,bath_count,sqft,floor,floor_plan_id,web_url,unit_number,price,adjusted_price,scraped_date
California,Studio City,https://www.avaloncommunities.com/california/studio-city-apartments/ava-studio-city,9/30/25,AVA Studio City,Virginia,16,,TRUE,Virginia,16,551,Nothing,,,,,11,https://www.avaloncommunities.com/pf/api/v3/content/fetch/community-units?query=%7B%22arcSite%22%3A%22avalon-communities%22%2C%22communityId%22%3A%22AVB-CA592%22%2C%22isMoveInDateFlexible%22%3Atrue%2C%22showFavorites%22%3Afalse%2C%22sortBy%22%3A%22LowestPrice%22%2C%22unitHasPromotion%22%3Afalse%7D&d=284&mxId=00000000&_website=avalon-communities,,,,,,,,,,,,,
California,Los Angeles,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-toluca-hills,9/30/25,AVA Toluca Hills,Washington,18,,TRUE,Washington,18,1151,https://sightmap.com/app/api/v1/dgow3yxqv2m/sightmaps/21029,,,,,12,https://www.avaloncommunities.com/pf/api/v3/content/fetch/community-units?query=%7B%22arcSite%22%3A%22avalon-communities%22%2C%22communityId%22%3A%22AVB-CA573%22%2C%22isMoveInDateFlexible%22%3Atrue%2C%22showFavorites%22%3Afalse%2C%22sortBy%22%3A%22LowestPrice%22%2C%22unitHasPromotion%22%3Afalse%7D&d=284&mxId=00000000&_website=avalon-communities,,,,,,,,,,,,,
California,San Jose,https://www.avaloncommunities.com/california/san-jose-apartments/avalon-at-cahill-park,9/30/25,Avalon at Cahill Park,,,,,,,218,https://sightmap.com/app/api/v1/l8epm980v6d/sightmaps/21030,,,,,13,https://www.avaloncommunities.com/pf/api/v3/content/fetch/community-units?query=%7B%22arcSite%22%3A%22avalon-communities%22%2C%22communityId%22%3A%22AVB-CA062%22%2C%22isMoveInDateFlexible%22%3Atrue%2C%22showFavorites%22%3Afalse%2C%22sortBy%22%3A%22LowestPrice%22%2C%22unitHasPromotion%22%3Afalse%7D&d=284&mxId=00000000&_website=avalon-communities,,,,,,,,,,,,,
California,San Francisco,https://www.avaloncommunities.com/california/san-francisco-apartments/avalon-at-mission-bay,9/30/25,Avalon at Mission Bay,,,,,,,313,Nothing,,,,,14,https://www.avaloncommunities.com/pf/api/v3/content/fetch/community-units?query=%7B%22arcSite%22%3A%22avalon-communities%22%2C%22communityId%22%3A%22AVB-CA067%22%2C%22isMoveInDateFlexible%22%3Atrue%2C%22showFavorites%22%3Afalse%2C%22sortBy%22%3A%22LowestPrice%22%2C%22unitHasPromotion%22%3Afalse%7D&d=284&mxId=00000000&_website=avalon-communities,,,,,,,,,,,,,
California,Lake Forest,https://www.avaloncommunities.com/california/lake-forest-apartments/avalon-baker-ranch,9/30/25,Avalon Baker Ranch,,,,,,,430,https://sightmap.com/app/api/v1/5rxwjkmzv1e/sightmaps/19270,,,,,15,https://www.avaloncommunities.com/pf/api/v3/content/fetch/community-units?query=%7B%22arcSite%22%3A%22avalon-communities%22%2C%22communityId%22%3A%22AVB-CA108%22%2C%22isMoveInDateFlexible%22%3Atrue%2C%22showFavorites%22%3Afalse%2C%22sortBy%22%3A%22LowestPrice%22%2C%22unitHasPromotion%22%3Afalse%7D&d=284&mxId=00000000&_website=avalon-communities,,,,,,,,,,,,,
California,Brea,https://www.avaloncommunities.com/california/brea-apartments/avalon-brea-place,9/30/25,Avalon Brea Place,,,,,,,653,https://sightmap.com/app/api/v1/910pdnn7w2z/sightmaps/20155,,,,,16,https://www.avaloncommunities.com/pf/api/v3/content/fetch/community-units?query=%7B%22arcSite%22%3A%22avalon-communities%22%2C%22communityId%22%3A%22AVB-CA123%22%2C%22isMoveInDateFlexible%22%3Atrue%2C%22showFavorites%22%3Afalse%2C%22sortBy%22%3A%22LowestPrice%22%2C%22unitHasPromotion%22%3Afalse%7D&d=284&mxId=00000000&_website=avalon-communities,,,,,,,,,,,,,
California,Burbank,https://www.avaloncommunities.com/california/burbank-apartments/avalon-burbank,9/30/25,Avalon Burbank,,,,,,,401,https://sightmap.com/app/api/v1/k9zw4d00w87/sightmaps/21031,,,,,17,https://www.avaloncommunities.com/pf/api/v3/content/fetch/community-units?query=%7B%22arcSite%22%3A%22avalon-communities%22%2C%22communityId%22%3A%22AVB-CA069%22%2C%22isMoveInDateFlexible%22%3Atrue%2C%22showFavorites%22%3Afalse%2C%22sortBy%22%3A%22LowestPrice%22%2C%22unitHasPromotion%22%3Afalse%7D&d=284&mxId=00000000&_website=avalon-communities,,,,,,,,,,,,,
California,Calabasas,https://www.avaloncommunities.com/california/calabasas-apartments/avalon-calabasas,9/30/25,Avalon Calabasas,,,,,,,600,https://sightmap.com/app/api/v1/4yjp28nepxl/sightmaps/21032,,,,,18,https://www.avaloncommunities.com/pf/api/v3/content/fetch/community-units?query=%7B%22arcSite%22%3A%22avalon-communities%22%2C%22communityId%22%3A%22AVB-CA541%22%2C%22isMoveInDateFlexible%22%3Atrue%2C%22showFavorites%22%3Afalse%2C%22sortBy%22%3A%22LowestPrice%22%2C%22unitHasPromotion%22%3Afalse%7D&d=284&mxId=00000000&_website=avalon-communities,,,,,,,,,,,,,
California,Camarillo,https://www.avaloncommunities.com/california/camarillo-apartments/avalon-camarillo,9/30/25,Avalon Camarillo,,,,,,,249,https://sightmap.com/app/api/v1/er5v5gzmwny/sightmaps/21054,,,,,19,https://www.avaloncommunities.com/pf/api/v3/content/fetch/community-units?query=%7B%22arcSite%22%3A%22avalon-communities%22%2C%22communityId%22%3A%22AVB-CA072%22%2C%22isMoveInDateFlexible%22%3Atrue%2C%22showFavorites%22%3Afalse%2C%22sortBy%22%3A%22LowestPrice%22%2C%22unitHasPromotion%22%3Afalse%7D&d=284&mxId=00000000&_website=avalon-communities,,,,,,,,,,,,,
California,San Jose,https://www.avaloncommunities.com/california/san-jose-apartments/avalon-campbell,9/30/25,Avalon Campbell,,,,,,48,348,https://sightmap.com/app/api/v1/4yjp28expxl/sightmaps/21062,,,,,20,https://www.avaloncommunities.com/pf/api/v3/content/fetch/community-units?query=%7B%22arcSite%22%3A%22avalon-communities%22%2C%22communityId%22%3A%22AVB-CA005%22%2C%22isMoveInDateFlexible%22%3Atrue%2C%22showFavorites%22%3Afalse%2C%22sortBy%22%3A%22LowestPrice%22%2C%22unitHasPromotion%22%3Afalse%7D&d=284&mxId=00000000&_website=avalon-communities,,,,,,,,,,,,,
California,Artesia,https://www.avaloncommunities.com/california/artesia-apartments/avalon-cerritos,9/30/25,Avalon Cerritos,,,,,,,132,https://sightmap.com/app/api/v1/l8epm9n0v6d/sightmaps/21056,,,,,21,https://www.avaloncommunities.com/pf/api/v3/content/fetch/community-units?query=%7B%22arcSite%22%3A%22avalon-communities%22%2C%22communityId%22%3A%22AVB-CA124%22%2C%22isMoveInDateFlexible%22%3Atrue%2C%22showFavorites%22%3Afalse%2C%22sortBy%22%3A%22LowestPrice%22%2C%22unitHasPromotion%22%3Afalse%7D&d=284&mxId=00000000&_website=avalon-communities,,,,,,,,,,,,,
California,Chino Hills,https://www.avaloncommunities.com/california/chino-hills-apartments/avalon-chino-hills,9/30/25,Avalon Chino Hills,,,,,,,331,https://sightmap.com/app/api/v1/k9zw4do0w87/sightmaps/21057,,,,,22,https://www.avaloncommunities.com/pf/api/v3/content/fetch/community-units?query=%7B%22arcSite%22%3A%22avalon-communities%22%2C%22communityId%22%3A%22AVB-CA116%22%2C%22isMoveInDateFlexible%22%3Atrue%2C%22showFavorites%22%3Afalse%2C%22sortBy%22%3A%22LowestPrice%22%2C%22unitHasPromotion%22%3Afalse%7D&d=284&mxId=00000000&_website=avalon-communities,,,,,,,,,,,,,
California,San Francisco,https://www.avaloncommunities.com/california/san-francisco-apartments/avalon-dogpatch,9/30/25,Avalon Dogpatch,,,,,,,326,https://sightmap.com/app/api/v1/zdqw95ygpo9/sightmaps/21041,,,,,23,https://www.avaloncommunities.com/pf/api/v3/content/fetch/community-units?query=%7B%22arcSite%22%3A%22avalon-communities%22%2C%22communityId%22%3A%22AVB-CA117%22%2C%22isMoveInDateFlexible%22%3Atrue%2C%22showFavorites%22%3Afalse%2C%22sortBy%22%3A%22LowestPrice%22%2C%22unitHasPromotion%22%3Afalse%7D&d=284&mxId=00000000&_website=avalon-communities,,,,,,,,,,,,,
California,Dublin,https://www.avaloncommunities.com/california/dublin-apartments/avalon-dublin-station,9/30/25,Avalon Dublin Station,,,,,,,253,https://sightmap.com/app/api/v1/5rxwj0dxp1e/sightmaps/20988,,,,,24,https://www.avaloncommunities.com/pf/api/v3/content/fetch/community-units?query=%7B%22arcSite%22%3A%22avalon-communities%22%2C%22communityId%22%3A%22AVB-CA098%22%2C%22isMoveInDateFlexible%22%3Atrue%2C%22showFavorites%22%3Afalse%2C%22sortBy%22%3A%22LowestPrice%22%2C%22unitHasPromotion%22%3Afalse%7D&d=284&mxId=00000000&_website=avalon-communities,,,,,,,,,,,,,
